All,"Tất Cả"
"Most Viewed","Được xem nhiều nhất"
"Show Report","Hiển thị báo cáo"
"Refresh Statistics","Làm mới các số liệu thống kê"
"Customers Reviews","Khách hàng đánh giá"
"Reviews for %1","Nhận xét về %1"
Detail,"Chi tiết"
"Products Reviews","Đánh giá sản phẩm"
"Products Bestsellers Report","Báo cáo Sản phẩm bán chạy nhất"
"Order Quantity","Số lượng đơn đặt hàng"
"Coupons Usage Report","Báo cáo Phiếu giảm giá sử dụng"
"Price Rule","Quy luật giá"
"Sales Subtotal","Tổng phụ doanh thu"
"Sales Discount","Bán hàng giảm giá"
"Sales Total","Tổng số doanh thu"
"Total Invoiced vs. Paid Report","Tổng số lập hoá đơn so với báo cáo thanh toán"
"Invoiced Orders","Đơn đặt hàng được lập hoá đơn"
"Total Invoiced","Tổng số lập hoá đơn"
"Paid Invoices","Thanh toán hóa đơn"
"Unpaid Invoices","Hoá đơn chưa thanh toán"
"Total Refunded Report","Báo cáo Tổng số trả lại"
"Refunded Orders","Hoàn trả các đơn đặt hàng"
"Total Refunded","Tổng số trả lại"
"Online Refunds","Hoàn lại tiền trực tuyến"
"Offline Refunds","Khoản tiền hoàn lại ngoại tuyến"
"Total Ordered Report","Báo cáo tổng đơn hàng"
"Sales Items","Sản phẩm khuyến mại"
Profit,"Lợi nhuận"
Paid,"Đã trả"
"Sales Tax","Thuế bán hàng"
"Sales Shipping","Bán hàng vận chuyển"
"Total Shipped Report","Báo cáo Tổng vận chuyển"
Carrier/Method,"Tàu sân bay/phương pháp"
"Total Sales Shipping","Tất cả các vận chuyển đang khuyến mại"
"Total Shipping","Tổng vận chuyển"
"Order Taxes Report Grouped by Tax Rate","Thứ tự báo cáo thuế được nhóm lại theo mức thuế suất"
"Tax Amount","Số tiền thuế"
"Abandoned carts","Giỏ hàng bị bỏ rơi"
"Applied Coupon","Áp dụng các phiếu giảm giá"
"Products in carts","Sản phẩm trong giỏ hàng"
"Wish List Purchase","Mua hàng trong danh sách yêu thích"
"Wish List vs. Regular Order","Danh sách yêu thích so với đơn hàng thông thường"
"Times Deleted","Thời gian đã xóa"
"Index type is not valid","Chỉ số loại là không hợp lệ"
"New Accounts Report","Báo cáo tài khoản mới"
"Customers by Number of Orders","Khách hàng bằng số lượng đơn đặt hàng"
"Order Count Report","Báo cáo số lượng đặt hàng"
"Order Total Report","Báo cáo tổng đơn hàng"
"Downloads Report","Tải báo cáo"
"Low Stock","Còn ít hàng"
"Low Stock Report","Báo cáo Còn ít hàng"
"Ordered Products Report","Báo cáo đơn đặt hàng Sản phẩm"
"Products Most Viewed Report","Báo cáo sản phẩm xem nhiều nhất"
"Product Views Report","Báo cáo lượt xem Sản phẩm"
"An error occurred while showing the product views report. Please review the log and try again.","Lỗi xảy ra trong khi hiển thị báo cáo lượt xem sản phẩm. Xin vui lòng xem lại các bản ghi và thử lại."
Review,"Đánh giá"
Reviews,"Các đánh giá"
"Customers Report","Báo cáo khách hàng"
"Customer Reviews Report","Báo cáo đánh giá Khách hàng"
"Product Reviews Report","Báo cáo đánh giá Sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Bestsellers Report","Báo cáo bán chạy nhất"
Coupons,"Phiếu giảm giá"
"Coupons Report","Báo cáo phiếu giảm giá"
"Invoice Report","Báo cáo hóa đơn"
"Refunds Report","Báo cáo hoàn lại tiền"
"Sales Report","Báo cáo doanh số"
"Orders Report","Báo cáo đơn đặt hàng"
"Shipping Report","Báo cáo vận chuyển"
"Tax Report","Báo cáo thuế"
"Abandoned Carts","Giỏ hàng bị bỏ rơi"
"Customer Shopping Carts","Giỏ hàng của Khách hàng"
"Products in Carts","Sản phẩm trong giỏ hàng"
Statistics,"Thống kê"
"No report code is specified.","Không có mã số báo cáo được quy định."
"You refreshed lifetime statistics.","Bạn làm mới đời sống số liệu thống kê."
"Recent statistics have been updated.","Thống kê gần đây đã được Cập Nhật."
"We can't refresh recent statistics.","Chúng tôi không thể làm mới các thống kê gần đây."
"The product type filter specified is incorrect.","Bộ lọc loại sản phẩm được chỉ định là không chính xác."
"Order Taxes Report Grouped by Tax Rates","Thứ tự báo cáo thuế được nhóm lại theo mức thuế suất"
"Total Invoiced VS Paid Report","Tổng số lập hoá đơn so với báo cáo thanh toán"
"Promotion Coupons Usage Report","Báo cáo việc sử dụng phiếu giảm giá khuyến mãi"
"Most Viewed Products Report","Báo cáo sản phẩm được xem nhiều nhất"
"Show By","Hiển thị bằng"
"Select Date","Chọn ngày"
"Customers that have Wish List: %1","Khách hàng có danh sách yêu thích: %1"
"Number of Wish Lists: %1","Số lượng danh sách yêu thích: %1"
"Number of items bought from a Wish List: %1","Số lượng mặt hàng mua từ một danh sách yêu thích: %1"
"Number of times Wish Lists have been shared (emailed): %1","Số lần danh sách yêu thích được chia sẻ (qua email): %1"
"Number of Wish List referrals: %1","Số lượng danh sách yêu thích được giới thiệu: %1"
"Number of Wish List conversions: %1","Số lượng chuyển đổi danh sách yêu thích: %1"
"Show Report For:","Hiển thị các báo cáo cho:"
"Products in Cart","Sản phẩm trong giỏ hàng"
"Abandoned Cart","Giỏ hàng bị bỏ rơi"
"Search Terms","Cụm từ tìm kiếm"
"By Customers","Bởi khách hàng"
"By Products","Bởi sản phẩm"
Refunds,"Hoàn lại tiền"
"Order Count","Thứ tự đơn hàng"
"Show for Current","Hiển thị đối với hiện tại"
"Default Recently Viewed Products Count","Mặc định tính số lượng sản phẩm mới xem"
"Default Recently Compared Products Count","Thứ tự sản phẩm so sánh gần đây Mặc định"
"Year-To-Date Starts","Bắt đầu năm đến ngày"
"Current Month Starts","Bắt đầu Tháng hiện tại"
"Select day of the month.","Chọn ngày tháng."
"Stock Quantity","Số lượng trong kho"
"Ordered Quantity","Số lượng đặt hàng"
"The report displays the top 5 most viewed products for each interval.","Báo cáo hiện top 5 sản phẩm xem nhiều nhất cho mỗi khoảng thời gian."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Để báo cáo chính xác, hãy chắc chắn để làm mới dòng đời số liệu thống kê mỗi khi bạn thay đổi múi giờ."
"Average (Approved)","Trung bình (chấp nhận)"
"Last Review","Nhận xét cuối cùng"
"Order Created","Tạo đơn hàng"
"Order Updated","Cập Nhật đơn hàng"
"The Order Updated report is created in real time and does not require a refresh.","Hàng Cập Nhật báo cáo được tạo ra trong thời gian thực và không yêu cầu làm mới."
"Last Invoice Created Date","Ngày Cập Nhật Hóa đơn cuối cùng"
"Last Credit Memo Created Date","Ngày tạo ghi nhớ tín dụng cuối cùng"
"First Invoice Created Date","Ngày cập nhật Hóa đơn đầu tiên"
"Refresh Lifetime Statistics","Làm mới đời sống số liệu thống kê"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Bạn có chắc bạn muốn làm mới đời sống số liệu thống kê ngay bây giờ? Thao tác này có thể làm chậm trải nghiệm mua sắm của khách hàng."
"Refresh Statistics for the Last Day","Làm mới các số liệu thống kê cho ngày cuối cùng"
"Are you sure you want to refresh statistics for the last day?","Bạn có chắc bạn muốn làm mới các số liệu thống kê cho ngày cuối cùng?"
"We can't configure the product right now.","Chúng tôi không thể đặt cấu hình sản phẩm ngay bây giờ."
"Invalid item option format.","Tùy chọn định dạng cho sản phẩm không hợp lệ."
"Cannot specify product.","Không thể xác định sản phẩm."
Exception,"Ngoại lệ"
"Could not save","Không thể lưu"
"Edit item","Chỉnh sửa sản phẩm"
Copy,"Sao chép"
Ok,"đồng ý"
"Save Review","Lưu nhận xét"
"New Review","Đánh giá mới"
"Review Details","Xem chi tiết"
"Product Rating","Đánh giá sản phẩm"
Nickname,"Biệt danh"
"Summary of Review","Bản tóm tắt của bài đánh giá"
"Save and Previous","Lưu và trước đó"
"Save and Next","Lưu và tiếp theo"
"Delete Review","Xóa đánh giá"
"Edit Review '%1'","Chỉnh sửa nhận xét '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4""> (%4)</a>"
Administrator,"Người quản lý"
Author,"Tác giả"
"Summary Rating","Tóm tắt đánh giá"
"Detailed Rating","Đánh giá chi tiết"
"Update Status","Cập Nhật Trạng Thái"
"Pending Reviews of Customer `%1`","Đang chờ nhận xét của khách hàng '%1'"
"Pending Reviews","Chờ đánh giá"
"All Reviews of Customer `%1`","Tất cả đánh giá của khách hàng '%1'"
"All Reviews of Product `%1`","Các đánh giá tất cả sản phẩm '%1'"
"All Reviews","Tất cả đánh giá"
"Product Store Name","Tên sản phẩm trong cửa hàng"
"Manage Ratings","Quản lý các xếp hạng"
"Add New Rating","Thêm xếp hạng mới"
"Save Rating","Lưu xếp hạng"
"Delete Rating","Xóa xếp hạng"
"Edit Rating #%1","Chỉnh sửa xếp hạng #%1"
"New Rating","Xếp hạng mới"
"Rating Title","Tiêu đề xếp hạng"
"Rating Visibility","Hiển thị xếp hạng"
"Is Active","Hoạt động"
"Rating Information","Thông tin đánh giá"
"Pending product review(s)","Đánh giá sản phẩm đang chờ xử lý"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Sản phẩm: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Tóm tắt các nhận xét: %1 <br/>"
"Review: %1 <br/>","Đánh giá: %1 <br/>"
"Store: %1 <br/>","Cửa hàng: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Bấm vào <a href=""%1""> đây</a> để xem các bài đánh giá."
"Product: ""%1"" reviewed by: %2","Sản phẩm: ""%1"" được đánh giá bởi: %2"
"Pending Reviews RSS","Đang chờ giải quyết giá RSS"
"Reviews %1","đánh Giá %1"
"The review has been deleted.","đánh giá đã bị xóa."
"Something went wrong  deleting this review.","Một cái gì đó đã đi sai xoá nhận xét này."
"Customer Reviews","Khách hàng đánh giá"
"Edit Review","Sửa đánh giá"
"We can't retrieve the product ID.","Chúng tôi không thể truy xuất ID sản phẩm."
"Please select review(s).","Vui lòng chọn đánh giá."
"Something went wrong while deleting these records.","Một cái gì đó đã đi sai trong khi xóa các bản ghi này."
"Something went wrong while updating these review(s).","Một cái gì đó đã đi sai trong khi cập nhật các đánh giá."
"You saved the review.","Bạn đã lưu các bài đánh giá."
"Something went wrong while saving this review.","Một cái gì đó đã đi sai trong khi lưu nhận xét này."
"The review was removed by another user or does not exist.","Các đánh giá được gỡ bỏ bởi người dùng khác hoặc không tồn tại."
"You deleted the rating.","Bạn đã xoá các xếp hạng."
Ratings,"Xếp hạng"
"You saved the rating.","Bạn đã lưu các xếp hạng."
"My Product Reviews","Đánh giá sản phẩm của tôi"
"You submitted your review for moderation.","Bạn đã gửi nhận xét của bạn để kiểm duyệt."
"We can't post your review right now.","Chúng tôi không thể đăng bài nhận xét của bạn ngay bây giờ."
Approved,"Chấp thuận"
"Not Approved","Không được chấp thuận"
